FID	IID	covar1	covar2
HG00403	HG00403	1	-0.0746564471218998
HG00404	HG00404	0	-1.00718772671302
HG00406	HG00406	0	-1.05276623110388
HG00407	HG00407	0	0.479085878013604
HG00409	HG00409	1	-0.957516560807911
HG00410	HG00410	0	0.198351615864595
HG00419	HG00419	1	-0.334155169167441
HG00421	HG00421	1	-0.17429041818322
HG00422	HG00422	0	-0.169460644171623
HG00428	HG00428	1	0.85124619019175
HG00436	HG00436	1	0.569267049505629
HG00437	HG00437	1	0.557476801637838
HG00442	HG00442	0	-0.943160610582932
HG00443	HG00443	0	0.462030258165513
HG00445	HG00445	1	-1.86739162479525
HG00446	HG00446	1	1.65471348730424
HG00448	HG00448	1	1.35437675516204
HG00449	HG00449	1	-1.35554672688532
HG00451	HG00451	1	0.339645006346547
HG00457	HG00457	1	-1.48907373810726
HG00458	HG00458	0	1.17814536583477
HG00463	HG00463	1	0.986788162115811
HG00464	HG00464	0	1.72614279860116
HG00472	HG00472	0	0.382923326871646
HG00473	HG00473	0	1.40765753085046
HG00475	HG00475	0	0.388090445288774
HG00476	HG00476	0	0.739066038227282
HG00478	HG00478	1	0.114253186106041
HG00479	HG00479	0	-0.346385170999116
HG00500	HG00500	0	-0.496471872797546
HG00513	HG00513	1	0.849696270375574
HG00524	HG00524	0	1.26200676497167
HG00525	HG00525	1	2.53086470966208
HG00530	HG00530	0	-0.275382103453014
HG00531	HG00531	0	2.18934078471118
HG00533	HG00533	1	0.125997565589687
HG00534	HG00534	0	-0.0687782721824844
HG00536	HG00536	1	0.300833020444059
HG00537	HG00537	1	-0.425777001856068
HG00542	HG00542	1	0.598767756436067
HG00543	HG00543	1	-1.61352144223841
HG00556	HG00556	1	0.29607865330995
HG00557	HG00557	1	-0.92432729276857
HG00559	HG00559	1	0.203123550817807
HG00560	HG00560	0	-0.793058381378621
HG00565	HG00565	1	-3.43155764697555
HG00566	HG00566	1	0.36579409885657
HG00580	HG00580	0	0.592225055777145
HG00581	HG00581	1	-0.276622390851288
HG00583	HG00583	0	0.633995486762934
HG00584	HG00584	1	0.132796492427545
HG00589	HG00589	1	-0.520107241281209
HG00590	HG00590	0	0.544920431486233
HG00592	HG00592	1	-0.42392082567095
HG00593	HG00593	1	-1.07367451531746
HG00595	HG00595	0	0.831665806667566
HG00596	HG00596	0	0.629230060537366
HG00598	HG00598	0	0.834368410304258
HG00599	HG00599	0	0.494375602860837
HG00607	HG00607	0	0.501154835870136
HG00608	HG00608	0	-1.13543000534675
HG00610	HG00610	0	0.0469062100153944
HG00611	HG00611	0	0.41473640232703
HG00613	HG00613	1	-0.649749749401308
HG00614	HG00614	1	-0.139997320615128
HG00619	HG00619	1	1.12628738747965
HG00620	HG00620	1	0.326073789229547
HG00622	HG00622	1	-0.27095886000757
HG00623	HG00623	1	-0.164894978191901
HG00625	HG00625	1	-1.7938934891367
HG00626	HG00626	1	-0.0293699463039157
HG00628	HG00628	1	-0.0288242351000579
HG00629	HG00629	0	-1.36952973406162
HG00631	HG00631	0	-1.84726908010867
HG00632	HG00632	0	-0.391008107066988
HG00634	HG00634	1	-1.07364437245049
HG00650	HG00650	0	-1.16615339115412
HG00651	HG00651	0	0.1861653086388
HG00653	HG00653	0	-0.248368992109455
HG00654	HG00654	0	0.693278983350832
HG00656	HG00656	0	-0.462772430466238
HG00657	HG00657	0	0.567834846707163
HG00662	HG00662	1	-0.718593450660341
HG00663	HG00663	1	1.09103757068545
HG00671	HG00671	1	-0.153713349694661
HG00672	HG00672	0	-1.97643495987514
HG00674	HG00674	1	-0.375462066650869
HG00675	HG00675	0	0.00186600713299751
HG00683	HG00683	1	-1.68953556923051
HG00684	HG00684	1	-0.352891021712047
HG00689	HG00689	0	0.745493957444349
HG00690	HG00690	0	-0.745966092349102
HG00692	HG00692	0	-0.381941793570507
HG00693	HG00693	1	1.61099266742456
HG00698	HG00698	0	1.911215392562
HG00699	HG00699	0	1.29854411171631
HG00701	HG00701	0	-0.50335858982462
HG00704	HG00704	1	0.169235550354174
HG00705	HG00705	0	0.313237364855102
HG00707	HG00707	0	1.55294095311822
HG00708	HG00708	0	0.00837542180849281
HG00717	HG00717	1	-0.605239134777962
HG00728	HG00728	1	0.775627515207201
HG00729	HG00729	0	0.467022668039128
HG00759	HG00759	1	-0.832143134235129
HG00766	HG00766	0	0.862468136614867
HG00844	HG00844	0	0.416220865035677
HG00851	HG00851	1	-0.886325606073948
HG00864	HG00864	0	0.272393854800132
HG00867	HG00867	1	-0.357198083116479
HG00879	HG00879	0	0.604036494494146
HG00881	HG00881	0	2.02425270020041
HG00956	HG00956	0	-0.602832881371163
HG00978	HG00978	1	0.7076817713836
HG00982	HG00982	1	-1.6366264656182
HG01028	HG01028	1	-0.893391620299721
HG01029	HG01029	0	-0.85906482427861
HG01031	HG01031	0	-0.434992327976715
HG01046	HG01046	1	-0.0992035350385286
HG01595	HG01595	0	-0.0510107225232649
HG01596	HG01596	0	-1.22507700600471
HG01597	HG01597	1	-0.543035727420834
HG01598	HG01598	0	1.16450011676603
HG01599	HG01599	0	1.54694250692719
HG01600	HG01600	1	0.00582773412581006
HG01794	HG01794	0	0.71892180046952
HG01795	HG01795	1	-0.373039062226988
HG01796	HG01796	1	-0.507263050483672
HG01797	HG01797	0	-0.662735357827603
HG01798	HG01798	0	-0.0604862365445757
HG01799	HG01799	0	-1.56691655888022
HG01800	HG01800	0	0.536938457964391
HG01801	HG01801	0	-1.3687039892576
HG01802	HG01802	1	2.40912689500443
HG01804	HG01804	0	-0.210803983206898
HG01805	HG01805	0	-0.731441279811826
HG01806	HG01806	1	0.77396169146887
HG01807	HG01807	0	0.168096812947023
HG01808	HG01808	0	0.910357888890254
HG01809	HG01809	0	0.691217504033406
HG01810	HG01810	1	-0.363057232087555
HG01811	HG01811	0	0.112670656022125
HG01812	HG01812	0	0.526832998904332
HG01813	HG01813	0	-0.788068798429843
HG01815	HG01815	0	0.615022050666549
HG01816	HG01816	1	-0.598842546496769
HG01817	HG01817	1	-0.706217035747037
HG01840	HG01840	0	-2.66506182647208
HG01841	HG01841	1	-0.588373216700562
HG01842	HG01842	0	0.1098545326013
HG01843	HG01843	1	0.57537887478474
HG01844	HG01844	1	-1.1736673330867
HG01845	HG01845	0	-0.752511695514137
HG01846	HG01846	0	-0.827061557326659
HG01847	HG01847	1	0.0723450087722991
HG01848	HG01848	0	0.643311291212136
HG01849	HG01849	0	-0.894016526815182
HG01850	HG01850	0	0.647655829060232
HG01851	HG01851	1	-1.4179175714306
HG01852	HG01852	0	-0.626445228230403
HG01853	HG01853	0	0.330916368889984
HG01855	HG01855	0	0.421460461841687
HG01857	HG01857	0	-0.798646726098844
HG01858	HG01858	1	0.14988471764425
HG01859	HG01859	1	-1.47258071286803
HG01860	HG01860	0	0.320606546156949
HG01861	HG01861	0	0.869594778167897
HG01862	HG01862	0	0.288507858992131
HG01863	HG01863	0	0.625981087705513
HG01864	HG01864	1	1.302463220866
HG01865	HG01865	0	0.784367073026735
HG01866	HG01866	0	0.185975671827409
HG01867	HG01867	1	-0.227701540122513
HG01868	HG01868	1	0.823688175219937
HG01869	HG01869	1	-0.274959177440174
HG01870	HG01870	0	1.27361135594847
HG01871	HG01871	1	-2.11555899741797
HG01872	HG01872	0	0.0125185328705055
HG01873	HG01873	0	-0.781379656242636
HG01874	HG01874	0	-0.16472687238522
HG01878	HG01878	0	-1.11660518564339
HG02016	HG02016	0	-0.0737500750982746
HG02017	HG02017	1	-0.0528884613574917
HG02019	HG02019	0	-0.90849576329301
HG02020	HG02020	0	0.344133937986067
HG02023	HG02023	1	1.17608875856416
HG02025	HG02025	1	-0.596186892579806
HG02026	HG02026	0	1.00161881879443
HG02028	HG02028	1	0.216932075079127
HG02029	HG02029	0	0.0478273884489429
HG02031	HG02031	1	-0.213528334109817
HG02032	HG02032	0	1.16357925659066
HG02035	HG02035	1	1.21764238196068
HG02040	HG02040	0	0.342614939522986
HG02047	HG02047	1	-0.867597866633773
HG02048	HG02048	0	-0.761743917005599
HG02049	HG02049	1	-0.320817252046703
HG02050	HG02050	0	-1.15296891019037
HG02057	HG02057	1	-0.137342291078103
HG02058	HG02058	0	0.398128476779828
HG02060	HG02060	1	-1.2097816376695
HG02061	HG02061	0	-0.124674180878856
HG02064	HG02064	1	1.18249766944812
HG02067	HG02067	0	0.694958648017294
HG02069	HG02069	1	-1.06323949921305
HG02070	HG02070	0	1.37804377462611
HG02072	HG02072	1	1.13345349582533
HG02073	HG02073	0	-0.811171450689726
HG02075	HG02075	1	-0.0645766817029789
HG02076	HG02076	0	-0.470436893001851
HG02078	HG02078	0	0.0687772189224907
HG02079	HG02079	1	0.871072559605505
HG02081	HG02081	0	-2.39385532411645
HG02082	HG02082	1	0.257851860525301
HG02084	HG02084	0	-1.40244482198591
HG02085	HG02085	1	1.56309083406304
HG02086	HG02086	1	0.132817946247903
HG02087	HG02087	0	-0.103970777715861
HG02088	HG02088	0	0.837766042875798
HG02113	HG02113	1	-0.276566702723904
HG02116	HG02116	1	-0.063481597643954
HG02121	HG02121	0	0.365244497921761
HG02122	HG02122	1	2.65737398820739
HG02127	HG02127	0	0.0146697635819822
HG02128	HG02128	0	1.0483356409478
HG02130	HG02130	1	-1.4572868375627
HG02131	HG02131	1	0.769397136498973
HG02133	HG02133	0	-0.0929622733381413
HG02134	HG02134	0	-0.812028770299745
HG02136	HG02136	1	0.146247965197926
HG02137	HG02137	1	-0.618785086741317
HG02138	HG02138	0	-0.265735856204254
HG02139	HG02139	0	1.24042002524839
HG02140	HG02140	1	-0.88268677397062
HG02141	HG02141	0	-0.347100656123804
HG02142	HG02142	1	0.836586980974954
HG02151	HG02151	0	1.30528604266326
HG02152	HG02152	1	1.24321242397197
HG02153	HG02153	0	0.0710220016088665
HG02154	HG02154	1	0.57198872684549
HG02155	HG02155	0	-0.998204223262062
HG02156	HG02156	1	-0.338835506567228
HG02164	HG02164	1	-0.296525718006481
HG02165	HG02165	0	0.66363250164924
