FID	IID	Y1
HG00403	HG00403	-0.128123834221184
HG00404	HG00404	-1.07503553182484
HG00406	HG00406	-1.10222281036487
HG00407	HG00407	0.393225518649744
HG00409	HG00409	-1.00615122929068
HG00410	HG00410	0.143295295024182
HG00419	HG00419	-0.377035899235237
HG00421	HG00421	-0.224859013165272
HG00422	HG00422	-0.230001049077698
HG00428	HG00428	0.844659729936673
HG00436	HG00436	0.538539130803282
HG00437	HG00437	0.504097443212167
HG00442	HG00442	-0.997873240108834
HG00443	HG00443	0.382421257127936
HG00445	HG00445	-1.99103752801592
HG00446	HG00446	1.63309615282194
HG00448	HG00448	1.28612110493833
HG00449	HG00449	-1.42408181942387
HG00451	HG00451	0.297457904600961
HG00457	HG00457	-1.5961971773817
HG00458	HG00458	1.11146832558287
HG00463	HG00463	0.949573840948947
HG00464	HG00464	1.71439191923213
HG00472	HG00472	0.329035394118348
HG00473	HG00473	1.33337492903385
HG00475	HG00475	0.334329496804784
HG00476	HG00476	0.709102503409024
HG00478	HG00478	0.042604270138844
HG00479	HG00479	-0.387817729006052
HG00500	HG00500	-0.550161080184486
HG00513	HG00513	0.837522650467179
HG00524	HG00524	1.20971881771491
HG00525	HG00525	2.35564147162687
HG00530	HG00530	-0.313207608190861
HG00531	HG00531	2.11438077152756
HG00533	HG00533	0.0526371839636066
HG00534	HG00534	-0.123073399156488
HG00536	HG00536	0.240303537885181
HG00537	HG00537	-0.481466606793125
HG00542	HG00542	0.56185782067015
HG00543	HG00543	-1.65241109827784
HG00556	HG00556	0.230001049077698
HG00557	HG00557	-0.981519076973578
HG00559	HG00559	0.148359614182975
HG00560	HG00560	-0.851840096238822
HG00565	HG00565	-2.44481232330511
HG00566	HG00566	0.307949263066943
HG00580	HG00580	0.550161080184486
HG00581	HG00581	-0.302699419094298
HG00583	HG00583	0.597423170913851
HG00584	HG00584	0.0576555653372933
HG00589	HG00589	-0.585486130788348
HG00590	HG00590	0.487100790081483
HG00592	HG00592	-0.470243708915559
HG00593	HG00593	-1.13979236919104
HG00595	HG00595	0.795561663484026
HG00596	HG00596	0.591444116203754
HG00598	HG00598	0.802456648725285
HG00599	HG00599	0.409518871536129
HG00607	HG00607	0.431414626651561
HG00608	HG00608	-1.22020068941704
HG00610	HG00610	-0.00250537820784484
HG00611	HG00611	0.355601619642226
HG00613	HG00613	-0.722048161570857
HG00614	HG00614	-0.178830285100335
HG00619	HG00619	1.05734355400172
HG00620	HG00620	0.276571767615258
HG00622	HG00622	-0.286999185972227
HG00623	HG00623	-0.204348771891133
HG00625	HG00625	-1.83526275608335
HG00626	HG00626	-0.0676968128040413
HG00628	HG00628	-0.0626753991468805
HG00629	HG00629	-1.45226913301035
HG00631	HG00631	-1.95591844079083
HG00632	HG00632	-0.459079730881514
HG00634	HG00634	-1.13025019463604
HG00650	HG00650	-1.24157664389907
HG00651	HG00651	0.107940388962436
HG00653	HG00653	-0.276571767615258
HG00654	HG00654	0.670955504675014
HG00656	HG00656	-0.509795266069594
HG00657	HG00657	0.526989471947959
HG00662	HG00662	-0.77509951262807
HG00663	HG00663	1.03997648744504
HG00671	HG00671	-0.189022780314672
HG00672	HG00672	-2.11438077152756
HG00674	HG00674	-0.442439895793746
HG00675	HG00675	-0.0426042701388439
HG00683	HG00683	-1.75968771667675
HG00684	HG00684	-0.398644832449439
HG00689	HG00689	0.71556034228597
HG00690	HG00690	-0.802456648725285
HG00692	HG00692	-0.447972680104438
HG00693	HG00693	1.57853489282465
HG00698	HG00698	1.83526275608335
HG00699	HG00699	1.2308183667286
HG00701	HG00701	-0.567735043389387
HG00704	HG00704	0.0928320590824777
HG00705	HG00705	0.245464294406179
HG00707	HG00707	1.51238958606768
HG00708	HG00708	1.0144987457841
HG00717	HG00717	-0.639898051820928
HG00728	HG00728	0.748310548146153
HG00729	HG00729	1.42408181942387
HG00759	HG00759	-0.903393965469359
HG00766	HG00766	0.851840096238822
HG00844	HG00844	0.360944509454128
HG00851	HG00851	-0.941737918286092
HG00864	HG00864	0.214592608156645
HG00867	HG00867	-0.409518871536129
HG00879	HG00879	0.567735043389387
HG00881	HG00881	1.99103752801592
HG00956	HG00956	-0.652245396776257
HG00978	HG00978	0.689903503363024
HG00982	HG00982	-1.69300364913976
HG01028	HG01028	-0.949573840948947
HG01029	HG01029	-0.918569407542923
HG01031	HG01031	-0.504097443212167
HG01046	HG01046	-0.153427741255188
HG01595	HG01595	-0.0827718113113739
HG01596	HG01596	-1.35816039821732
HG01597	HG01597	-0.591444116203754
HG01598	HG01598	2.16373416140224
HG01599	HG01599	1.4968481141065
HG01600	HG01600	-0.0375894840579472
HG01794	HG01794	0.696274608448045
HG01795	HG01795	-0.431414626651561
HG01796	HG01796	-0.56185782067015
HG01797	HG01797	-0.735115975734931
HG01798	HG01798	-0.102901711276718
HG01799	HG01799	-1.63309615282194
HG01800	HG01800	0.475847665973155
HG01801	HG01801	-0.366297722944299
HG01802	HG01802	2.21899952834437
HG01804	HG01804	-0.245464294406179
HG01805	HG01805	-0.788704294098734
HG01806	HG01806	0.741697120947869
HG01807	HG01807	0.087800824415283
HG01808	HG01808	1.92305802066591
HG01809	HG01809	0.664692992831066
HG01810	HG01810	-0.425921678817692
HG01811	HG01811	0.037589484057947
HG01812	HG01812	0.459079730881514
HG01813	HG01813	-0.844659729936673
HG01815	HG01815	0.573631942511952
HG01816	HG01816	-0.633760888358468
HG01817	HG01817	-0.761636705066749
HG01840	HG01840	-3.02349269371767
HG01841	HG01841	-0.615490434388074
HG01842	HG01842	0.0325756431081649
HG01843	HG01843	1.5961971773817
HG01844	HG01844	-1.25248057378807
HG01845	HG01845	-0.809389996227293
HG01846	HG01846	-0.895883771200347
HG01847	HG01847	1.0486204855659
HG01848	HG01848	0.615490434388074
HG01849	HG01849	-0.957468507325731
HG01850	HG01850	0.627647503125113
HG01851	HG01851	-1.4968481141065
HG01852	HG01852	-0.709102503409024
HG01853	HG01853	0.27136938445815
HG01855	HG01855	0.371661454092368
HG01857	HG01857	-0.859064652423401
HG01858	HG01858	0.077744890729314
HG01859	HG01859	-1.57853489282465
HG01860	HG01860	0.2558056000647
HG01861	HG01861	0.859064652423401
HG01862	HG01862	0.224859013165272
HG01863	HG01863	0.585486130788349
HG01864	HG01864	1.25248057378807
HG01865	HG01865	0.761636705066749
HG01866	HG01866	0.102901711276718
HG01867	HG01867	-0.250631596814572
HG01868	HG01868	0.77509951262807
HG01869	HG01869	-0.292224549645513
HG01870	HG01870	1.22020068941704
HG01871	HG01871	-2.21899952834437
HG01872	HG01872	-0.032575643108165
HG01873	HG01873	0.194126334977844
HG01874	HG01874	-0.214592608156645
HG01878	HG01878	-1.19936819837819
HG02016	HG02016	0.933959397460266
HG02017	HG02017	-0.0727199340001615
HG02019	HG02019	-0.973439666401344
HG02020	HG02020	0.292224549645513
HG02023	HG02023	1.12080983801804
HG02025	HG02025	-0.627647503125113
HG02026	HG02026	0.965423304406418
HG02028	HG02028	0.163575964305635
HG02029	HG02029	0.00250537820784484
HG02031	HG02031	-0.240303537885181
HG02032	HG02032	1.10222281036487
HG02035	HG02035	1.15919474843706
HG02040	HG02040	0.286999185972227
HG02047	HG02047	-0.92623697971705
HG02048	HG02048	-0.823374864022281
HG02049	HG02049	-0.355601619642225
HG02050	HG02050	-1.2308183667286
HG02057	HG02057	-0.173741061911773
HG02058	HG02058	0.350268861826863
HG02060	HG02060	-1.32128367077722
HG02061	HG02061	-0.168656334704188
HG02064	HG02064	1.13025019463604
HG02067	HG02067	0.677244442095517
HG02069	HG02069	-1.11146832558287
HG02070	HG02070	1.32128367077722
HG02072	HG02072	1.07503553182484
HG02073	HG02073	-0.873650077858641
HG02075	HG02075	-0.097865644750487
HG02076	HG02076	-0.521240993362728
HG02078	HG02078	0.00751619752895303
HG02079	HG02079	0.881012887644082
HG02081	HG02081	-2.55908682511685
HG02082	HG02082	0.199234950955813
HG02084	HG02084	-1.46680618905497
HG02085	HG02085	1.56135174998818
HG02086	HG02086	0.0626753991468803
HG02087	HG02087	-0.163575964305635
HG02088	HG02088	0.816362472322062
HG02113	HG02113	-0.297457904600961
HG02116	HG02116	-0.0928320590824776
HG02121	HG02121	0.302699419094299
HG02122	HG02122	2.44481232330511
HG02127	HG02127	-0.0275626209358959
HG02128	HG02128	1.00615122929068
HG02130	HG02130	-1.56135174998819
HG02131	HG02131	1.75968771667675
HG02133	HG02133	-0.148359614182975
HG02134	HG02134	-0.881012887644083
HG02136	HG02136	0.0727199340001615
HG02137	HG02137	-0.670955504675014
HG02138	HG02138	-0.281781646967174
HG02139	HG02139	1.17904361344893
HG02140	HG02140	-0.933959397460266
HG02141	HG02141	-0.393225518649744
HG02142	HG02142	0.830427979810651
HG02151	HG02151	1.24157664389907
HG02152	HG02152	1.18914450304541
HG02153	HG02153	0.0125272055773735
HG02154	HG02154	0.54434091493561
HG02155	HG02155	-1.05734355400172
HG02156	HG02156	-0.382421257127936
HG02164	HG02164	-0.318474627914424
HG02165	HG02165	0.639898051820928
HG02166	HG02166	-0.728566516586001
HG02178	HG02178	1.80891140926996
HG02179	HG02179	0.118026101382017
HG02180	HG02180	1.19936819837819
HG02181	HG02181	0.555999941808973
HG02182	HG02182	-0.544340914935611
HG02184	HG02184	2.72159597917921
HG02185	HG02185	1.45226913301035
HG02186	HG02186	-1.73659450230301
HG02188	HG02188	0.425921678817692
HG02190	HG02190	-1.43803265985434
HG02250	HG02250	3.02349269371767
HG02351	HG02351	2.55908682511684
HG02353	HG02353	1.2976640605536
HG02355	HG02355	0.112981808576949
HG02356	HG02356	1.27474701357403
